ID,predicted_price
PU-1,1.7038175
PU-2,1.7009877
PU-3,2.7137527
PU-4,1.4389629
PU-5,3.4155068
PU-6,1.7052635
PU-7,1.8233951
PU-8,1.7591679
PU-9,1.4560419
PU-10,1.6752455
PU-11,1.067504
PU-12,3.7912145
PU-13,0.9365745
PU-14,1.9672786
PU-15,1.5724286
PU-16,0.87792325
PU-17,3.2217257
PU-18,2.8126278
PU-19,0.9052544
PU-20,2.8996308
PU-21,1.5871468
PU-22,1.5660324
PU-23,3.3797858
PU-24,1.3264676
PU-25,2.5588424
PU-26,1.8699449
PU-27,2.1360943
PU-28,1.6175328
PU-29,2.7059855
PU-30,1.5595366
PU-31,4.0420175
PU-32,1.2907517
PU-33,2.8596456
PU-34,1.6832025
PU-35,1.6534479
PU-36,1.4317383
PU-37,1.7219266
PU-38,3.0584245
PU-39,2.5679967
PU-40,2.1044543
PU-41,1.8368235
PU-42,1.3311553
PU-43,1.4313675
PU-44,2.2595963
PU-45,1.8617392
PU-46,0.8712598
PU-47,1.4349792
PU-48,1.1435212
PU-49,0.6818783
PU-50,2.6885126
PU-51,3.3402164
PU-52,2.1633508
PU-53,2.1826174
PU-54,2.743599
PU-55,1.0227689
PU-56,4.2577972
PU-57,3.3661363
PU-58,2.5881777
PU-59,1.7686788
PU-60,2.3446515
PU-61,1.3444457
PU-62,1.3521695
PU-63,2.036733
PU-64,1.3040148
PU-65,5.9489374
PU-66,1.8704247
PU-67,1.9754885
PU-68,1.0947611
PU-69,1.344293
PU-70,1.9872017
PU-71,1.6422249
PU-72,2.6031032
PU-73,1.2905596
PU-74,2.5618176
PU-75,1.748828
PU-76,0.98643696
PU-77,2.2345655
PU-78,0.82409704
PU-79,1.7612507
PU-80,1.0806787
PU-81,1.2398463
PU-82,1.4545074
PU-83,1.6136309
PU-84,2.0769997
PU-85,4.5694256
PU-86,1.1265707
PU-87,2.8816938
PU-88,1.1297842
PU-89,3.959386
PU-90,3.3314013
PU-91,0.71560025
PU-92,1.053567
PU-93,2.8972578
PU-94,1.5358983
PU-95,2.074873
PU-96,1.7371747
PU-97,1.4173166
PU-98,2.1116867
PU-99,1.9541872
PU-100,0.9797657
PU-101,1.2449281
PU-102,1.4382758
PU-103,1.2911323
PU-104,1.2752622
PU-105,2.2858741
PU-106,1.373436
PU-107,0.6109561
PU-108,1.4250894
PU-109,2.1227882
PU-110,1.5626513
PU-111,1.3569924
PU-112,2.3272953
PU-113,1.7235163
PU-114,1.7312257
PU-115,2.0170283
PU-116,1.6931355
PU-117,1.8042743
PU-118,1.4877765
PU-119,1.108412
PU-120,1.4229289
PU-121,1.0350313
PU-122,2.0854876
PU-123,2.6150606
PU-124,2.0978625
PU-125,1.7885743
PU-126,5.127466
PU-127,1.9431002
PU-128,2.0207806
PU-129,1.3148677
PU-130,1.1983778
PU-131,2.219407
PU-132,1.0798775
PU-133,2.227763
PU-134,1.5379199
PU-135,2.0555677
PU-136,1.9368272
PU-137,1.5284581
PU-138,2.3121521
PU-139,1.2831708
PU-140,2.5597456
PU-141,3.8017938
PU-142,0.79213625
PU-143,2.2194335
PU-144,1.2828568
PU-145,1.7206011
PU-146,1.8382819
PU-147,2.0940912
PU-148,0.93445224
PU-149,1.3084254
PU-150,1.4421474
PU-151,1.2211376
PU-152,1.5870794
PU-153,2.381926
PU-154,1.5836867
PU-155,2.6267045
PU-156,1.5975326
PU-157,1.251454
PU-158,1.3438778
PU-159,5.0647235
PU-160,1.5542662
PU-161,0.86187094
PU-162,1.7639519
PU-163,1.0476699
PU-164,3.1749356
PU-165,5.625157
PU-166,1.2566602
PU-167,1.5205662
PU-168,4.724449
PU-169,1.9349058
PU-170,0.916513
PU-171,2.4050004
PU-172,1.625956
PU-173,2.4780838
PU-174,1.2814593
PU-175,1.2346985
PU-176,1.8052996
PU-177,2.6640265
PU-178,1.8743458
PU-179,1.598001
PU-180,1.500565
PU-181,0.81771946
PU-182,3.555716
PU-183,1.9778109
PU-184,2.501878
PU-185,1.7678542
PU-186,4.867325
PU-187,2.3783126
PU-188,1.3723459
PU-189,1.0248698
PU-190,1.6754756
PU-191,3.4938226
PU-192,1.141352
PU-193,1.407563
PU-194,0.9700382
PU-195,1.7696127
PU-196,3.9880223
PU-197,5.2721777
PU-198,1.0958673
PU-199,1.9229578
PU-200,1.4812635
PU-201,2.8879628
PU-202,0.70764625
PU-203,3.6563642
PU-204,1.762436
PU-205,1.3540119
PU-206,1.3841101
PU-207,1.5094285
PU-208,1.9908334
PU-209,3.262973
PU-210,2.0719206
PU-211,1.2944523
PU-212,1.7334849
PU-213,1.7751827
PU-214,1.3565001
PU-215,2.3920593
PU-216,1.1699321
PU-217,1.7716805
PU-218,2.0806656
PU-219,1.3932315
PU-220,1.4038713
PU-221,1.4393198
PU-222,2.204659
PU-223,1.3934895
PU-224,2.0138164
PU-225,1.6967478
PU-226,1.7182081
PU-227,1.769261
PU-228,2.4959002
PU-229,2.1672401
PU-230,0.76167566
PU-231,1.433456
PU-232,1.3148205
PU-233,1.9487982
PU-234,1.6945128
PU-235,1.1925652
PU-236,2.203904
PU-237,3.158723
PU-238,4.487049
PU-239,2.2019503
PU-240,3.7687533
PU-241,2.6975636
PU-242,2.680955
PU-243,2.9292448
PU-244,1.4650055
PU-245,1.7812593
PU-246,2.4884255
PU-247,1.0934658
PU-248,0.9334544
PU-249,1.1192882
PU-250,3.213
PU-251,3.3942268
PU-252,3.6624012
PU-253,1.3347391
PU-254,1.9184465
PU-255,2.0447369
PU-256,2.507687
PU-257,1.521316
PU-258,3.6602798
PU-259,1.682575
PU-260,2.5863261
PU-261,1.3879901
PU-262,2.3105872
PU-263,1.7778809
PU-264,1.6705439
PU-265,0.99511176
PU-266,3.4400256
PU-267,2.9850662
PU-268,2.0685015
PU-269,2.566692
PU-270,1.7343653
PU-271,3.7543912
PU-272,2.1592395
PU-273,1.9750514
PU-274,3.120936
PU-275,3.2468042
PU-276,2.4935064
PU-277,1.7562953
PU-278,1.2528677
PU-279,2.148931
PU-280,1.2671571
PU-281,1.0772747
PU-282,1.7322326
PU-283,1.2211525
PU-284,2.0830197
PU-285,1.6452185
PU-286,3.2026114
PU-287,1.7625598
PU-288,1.1273578
PU-289,1.2042071
PU-290,0.9593862
PU-291,2.2314005
PU-292,2.940354
PU-293,1.054348
PU-294,1.7147944
PU-295,4.2835402
PU-296,1.2016474
PU-297,1.0611638
PU-298,1.1782445
PU-299,2.00855
PU-300,2.8460867
PU-301,0.86817896
PU-302,1.3796217
PU-303,1.0330302
PU-304,2.778544
PU-305,1.7310039
PU-306,2.3616204
PU-307,5.6811037
PU-308,1.2518848
PU-309,2.266199
PU-310,4.7108207
PU-311,4.5349064
PU-312,4.270881
PU-313,3.7822993
PU-314,2.8057184
PU-315,4.0037813
PU-316,1.742976
PU-317,1.8121961
PU-318,1.2387046
PU-319,1.9226503
PU-320,1.3369507
PU-321,1.9152913
PU-322,1.3986
PU-323,3.8887506
PU-324,1.1037576
PU-325,2.5436385
PU-326,2.4267328
PU-327,2.6037912
PU-328,1.3566784
PU-329,2.2537296
PU-330,3.6361113
PU-331,1.606763
PU-332,2.1578498
PU-333,3.0118492
PU-334,1.3037753
PU-335,1.0685482
PU-336,1.2762882
PU-337,2.139454
PU-338,2.110926
PU-339,3.1360745
PU-340,1.2093253
PU-341,1.3354069
PU-342,0.9224194
PU-343,1.1159852
PU-344,0.9676053
PU-345,2.8772762
PU-346,1.3051187
PU-347,1.0099624
PU-348,0.9063074
PU-349,2.378959
PU-350,0.9474698
PU-351,2.649411
PU-352,1.94029
PU-353,1.6366538
PU-354,1.9099015
PU-355,1.2055639
PU-356,3.689208
PU-357,1.3282341
PU-358,1.8983649
PU-359,1.7009344
PU-360,3.1760533
PU-361,1.012012
PU-362,1.1226149
PU-363,0.9889845
PU-364,1.302716
PU-365,2.4617631
PU-366,6.2739863
PU-367,2.8051825
PU-368,1.3938651
PU-369,1.2649344
PU-370,3.612777
PU-371,2.3300753
PU-372,1.7696263
PU-373,1.7538239
PU-374,2.0312006
PU-375,1.3065907
PU-376,4.1436715
PU-377,1.5413914
PU-378,2.2170198
PU-379,1.9590617
PU-380,1.6825304
PU-381,2.5432158
PU-382,2.4626646
PU-383,1.6307542
PU-384,5.5603557
PU-385,1.5108258
PU-386,1.1414589
PU-387,0.9104668
PU-388,0.7863162
PU-389,1.1620395
PU-390,1.2317716
PU-391,1.7817122
PU-392,1.4886568
PU-393,4.6208463
PU-394,1.4713199
PU-395,1.6398642
PU-396,2.4986615
PU-397,2.8979683
PU-398,1.2038074
PU-399,1.4865168
PU-400,1.0115137
PU-401,1.3503355
PU-402,1.5458463
PU-403,1.1563141
PU-404,1.3538811
PU-405,3.1586835
PU-406,1.7295202
PU-407,2.0439062
PU-408,2.0286062
PU-409,1.324481
PU-410,1.7656235
PU-411,3.164887
PU-412,1.9164898
PU-413,1.7223861
PU-414,1.9246811
PU-415,1.8683405
PU-416,1.0970411
PU-417,1.11136
PU-418,2.4487312
PU-419,1.8620507
PU-420,0.7495241
PU-421,1.8073238
PU-422,3.1463368
PU-423,0.8567925
PU-424,1.4994749
PU-425,1.7115189
PU-426,1.1690451
PU-427,1.3723766
PU-428,1.4181023
PU-429,1.5049993
PU-430,1.411215
PU-431,3.1207952
PU-432,2.1460822
PU-433,4.1291413
PU-434,1.9807189
PU-435,1.5177933
PU-436,1.5406617
PU-437,2.6107478
PU-438,2.4052298
PU-439,1.8592063
PU-440,2.109457
PU-441,1.5662344
PU-442,1.4509478
PU-443,2.9972074
PU-444,1.7688799
PU-445,1.2235177
PU-446,4.741855
PU-447,4.1635947
PU-448,3.507343
PU-449,0.828812
PU-450,0.8900017
PU-451,1.0546167
PU-452,1.322598
PU-453,0.96123
PU-454,2.1742437
PU-455,1.9800491
PU-456,3.6766603
PU-457,1.7515073
PU-458,1.4467924
PU-459,1.4142574
PU-460,1.788504
PU-461,2.1171193
PU-462,1.8226784
PU-463,1.2865314
PU-464,1.316235
PU-465,2.7408648
PU-466,0.993649
PU-467,2.4344118
PU-468,1.549896
PU-469,1.3764014
PU-470,2.1014562
PU-471,1.0876918
PU-472,1.6519322
PU-473,1.524149
PU-474,1.8814795
PU-475,1.7392486
PU-476,0.99906176
PU-477,1.2952542
PU-478,1.5202136
PU-479,1.3546966
PU-480,0.93029493
PU-481,1.1595378
PU-482,2.451418
PU-483,2.2810004
PU-484,1.6745334
PU-485,1.2125065
PU-486,1.0900171
PU-487,2.5503514
PU-488,1.0671333
PU-489,2.195699
PU-490,3.2800443
PU-491,1.9451318
PU-492,1.9400786
PU-493,0.81575716
PU-494,1.0702152
PU-495,1.8590513
PU-496,2.2493536
PU-497,1.6356165
PU-498,1.6996799
PU-499,1.7123169
PU-500,1.660737
PU-501,4.790883
PU-502,2.412131
PU-503,1.3243154
PU-504,1.8578604
PU-505,2.1007752
PU-506,2.1726508
PU-507,1.2595576
PU-508,1.4811399
PU-509,1.4927286
PU-510,3.9905381
PU-511,1.3810833
PU-512,2.3710766
PU-513,1.5531214
PU-514,1.1379464
PU-515,1.8682936
PU-516,1.1741867
PU-517,1.0578359
PU-518,1.0218825
PU-519,1.7548013
PU-520,3.4831965
PU-521,1.5646676
PU-522,1.3466277
PU-523,1.6631055
PU-524,3.597545
PU-525,3.481046
PU-526,4.6700835
PU-527,2.1955433
PU-528,1.3038915
PU-529,1.7540169
PU-530,0.94571143
PU-531,2.1589923
PU-532,2.1945956
PU-533,1.9065348
PU-534,1.5701667
PU-535,1.7436373
PU-536,1.8291146
PU-537,1.8731446
PU-538,1.5206462
PU-539,1.1187582
PU-540,1.4099469
PU-541,0.9629376
PU-542,1.0536809
PU-543,2.0654168
PU-544,1.5481681
PU-545,1.271688
PU-546,4.6650343
PU-547,2.3115025
PU-548,1.5000322
PU-549,1.9858891
PU-550,1.1209075
PU-551,2.468739
PU-552,1.669499
PU-553,3.496826
PU-554,1.6706531
PU-555,1.1814904
PU-556,4.412903
PU-557,1.1363214
PU-558,1.3487434
PU-559,2.141293
PU-560,1.8551071
PU-561,1.9765015
PU-562,2.647265
PU-563,2.9456444
PU-564,4.020288
PU-565,1.9676677
PU-566,3.647909
PU-567,2.8504739
PU-568,1.479871
PU-569,2.7543519
PU-570,1.5468038
PU-571,3.2741194
PU-572,2.52302
PU-573,1.5163652
PU-574,3.9343367
PU-575,1.7938513
PU-576,1.3148322
PU-577,0.8935346
PU-578,1.1241068
PU-579,2.2886205
PU-580,2.7975678
PU-581,1.5329735
PU-582,1.4693116
PU-583,1.7997849
PU-584,2.0915117
PU-585,1.688059
PU-586,1.4086941
PU-587,3.4562194
PU-588,2.2807984
PU-589,2.1668384
PU-590,1.2352042
PU-591,3.1379666
PU-592,1.3884747
PU-593,2.8860812
PU-594,1.4002506
PU-595,1.7805449
PU-596,2.4659579
PU-597,1.1491549
PU-598,1.0376931
PU-599,0.9253552
PU-600,3.4516523
PU-601,1.1551695
PU-602,2.1018426
PU-603,1.160041
PU-604,1.4369824
PU-605,1.3551811
PU-606,2.2793481
PU-607,3.1735864
PU-608,3.186498
PU-609,4.667363
PU-610,3.632625
PU-611,3.8650467
PU-612,1.9637618
PU-613,2.6213262
PU-614,1.3401201
PU-615,2.4462602
PU-616,1.7388718
PU-617,1.5141225
PU-618,1.8138765
PU-619,1.15483
PU-620,1.4098299
PU-621,1.050041
PU-622,1.37965
PU-623,3.025688
PU-624,1.293188
PU-625,1.3677874
PU-626,9.531386
PU-627,1.7488111
PU-628,1.6112959
PU-629,2.1191137
PU-630,2.036381
PU-631,3.0295098
PU-632,1.0230097
PU-633,0.87951946
PU-634,0.81395745
PU-635,1.5726212
PU-636,1.6342268
PU-637,1.0197272
PU-638,2.0491652
PU-639,4.249357
PU-640,1.2586565
PU-641,2.5573819
PU-642,4.361209
PU-643,3.0426555
PU-644,1.3149126
PU-645,3.554457
PU-646,0.98728156
PU-647,1.3349341
PU-648,1.5517051
PU-649,2.7655652
PU-650,2.7242157
PU-651,2.331326
PU-652,1.7553544
PU-653,1.7884141
PU-654,2.4962482
PU-655,1.4193285
PU-656,2.2525847
PU-657,1.6556988
PU-658,1.7856469
PU-659,1.9822057
PU-660,1.8536072
PU-661,3.2800996
PU-662,1.9692527
PU-663,0.7384337
PU-664,1.5175178
PU-665,2.6401408
PU-666,1.7076385
PU-667,1.47332
PU-668,1.1120391
PU-669,1.129897
PU-670,1.74937
PU-671,2.115693
PU-672,2.0686734
PU-673,1.3618068
PU-674,3.1480281
PU-675,1.3076501
PU-676,1.6861095
PU-677,2.5664744
PU-678,2.1914034
PU-679,2.0530849
PU-680,2.1063433
PU-681,2.9162836
PU-682,1.4452051
PU-683,1.4814278
PU-684,5.0581594
PU-685,2.4982178
PU-686,1.4879305
PU-687,2.5593042
PU-688,1.5779554
PU-689,2.4991322
PU-690,3.022109
PU-691,2.7082462
PU-692,1.5277672
PU-693,1.5068611
PU-694,1.6118324
PU-695,2.9318964
PU-696,2.6112244
PU-697,0.6735867
PU-698,2.0994623
PU-699,2.4083047
PU-700,4.5062346
PU-701,1.2091564
PU-702,4.5100236
PU-703,1.7812943
PU-704,1.7984457
PU-705,1.8304851
PU-706,1.8176281
PU-707,2.0429711
PU-708,1.2431399
PU-709,1.4110012
PU-710,2.657976
PU-711,1.5261699
PU-712,0.79019123
PU-713,1.8064387
PU-714,1.4500806
PU-715,1.7375592
PU-716,1.1011153
PU-717,2.7417097
PU-718,1.7039399
PU-719,0.9513621
PU-720,4.0811787
PU-721,3.1373847
PU-722,2.7552397
PU-723,1.4735287
PU-724,2.3287623
PU-725,1.709998
PU-726,6.347669
PU-727,1.3023329
PU-728,1.4906079
PU-729,1.879471
PU-730,1.061227
PU-731,1.8373177
PU-732,0.82624227
PU-733,3.1349401
PU-734,2.9400184
PU-735,2.2672164
PU-736,2.6881924
PU-737,1.2794774
PU-738,1.1142905
PU-739,2.3495917
PU-740,1.613951
PU-741,3.0697732
PU-742,2.832384
PU-743,0.81907374
PU-744,3.2975075
PU-745,1.5828149
PU-746,2.625623
PU-747,1.0393777
PU-748,2.582288
PU-749,1.0015181
PU-750,1.0089703
PU-751,2.578207
PU-752,3.662019
PU-753,1.9953873
PU-754,2.0886579
PU-755,1.4795318
PU-756,1.18974
PU-757,0.8501695
PU-758,4.704988
PU-759,1.2638983
PU-760,2.5609534
PU-761,0.8967614
PU-762,0.7462167
PU-763,0.8575177
PU-764,2.2245142
PU-765,2.2402635
PU-766,1.4525281
PU-767,1.1261741
PU-768,1.5984492
PU-769,0.92495173
PU-770,2.3265703
PU-771,1.1796396
PU-772,2.8740757
PU-773,3.9698164
PU-774,1.9175451
PU-775,1.9398706
PU-776,1.1828203
PU-777,0.9216286
PU-778,0.9156416
PU-779,2.6489282
PU-780,2.2200327
PU-781,1.049119
PU-782,2.8479135
PU-783,1.3274101
PU-784,1.4960935
PU-785,1.3408461
PU-786,1.4483798
PU-787,1.3595637
PU-788,2.5328274
PU-789,0.8833811
PU-790,1.4429008
PU-791,3.9905381
PU-792,1.9418831
PU-793,1.8027765
PU-794,2.7642243
PU-795,1.4893675
PU-796,1.5904382
PU-797,1.5490353
PU-798,1.0509508
PU-799,1.693119
PU-800,2.6145566
PU-801,1.6176951
PU-802,3.126332
PU-803,2.2946928
PU-804,0.99468994
PU-805,1.6429497
PU-806,1.2344267
PU-807,1.4935919
PU-808,0.9702033
PU-809,1.849281
PU-810,0.72190523
PU-811,0.8272482
PU-812,1.5648222
PU-813,4.326759
PU-814,1.4480366
PU-815,1.2214687
PU-816,2.832654
PU-817,1.6297383
PU-818,3.6520262
PU-819,1.4529359
PU-820,1.060529
PU-821,1.3104806
PU-822,2.9452298
PU-823,5.5260334
PU-824,1.8921434
PU-825,1.8628191
PU-826,0.9530613
PU-827,0.78861535
PU-828,2.8700726
PU-829,1.2739179
PU-830,1.3890327
PU-831,1.266728
PU-832,1.6173465
PU-833,1.2608457
PU-834,1.4064384
PU-835,1.9150765
PU-836,3.2816875
PU-837,1.4143364
PU-838,2.059785
PU-839,2.9259808
