ID,predicted_price
TR-1,4.2957697
TR-2,2.309719
TR-3,1.4006069
TR-4,2.3382595
TR-5,3.5104108
TR-6,2.4590135
TR-7,1.3907077
TR-8,1.1898388
TR-9,2.06349
TR-10,1.403554
TR-11,1.412202
TR-12,1.0568057
TR-13,2.5198112
TR-14,2.1417248
TR-15,1.9798071
TR-16,2.3088834
TR-17,1.1589594
TR-18,2.2384899
TR-19,1.7253691
TR-20,1.9991935
TR-21,1.790256
TR-22,1.1782666
TR-23,5.6790304
TR-24,0.91984886
TR-25,1.4114141
TR-26,1.6647758
TR-27,4.040181
TR-28,2.9832997
TR-29,1.4891692
TR-30,1.5972816
TR-31,1.1780157
TR-32,2.4918065
TR-33,1.0115144
TR-34,4.293729
TR-35,1.6016892
TR-36,2.2900243
TR-37,1.3570063
TR-38,1.8195863
TR-39,1.0617431
TR-40,3.458872
TR-41,1.177073
TR-42,1.6454747
TR-43,1.6066176
TR-44,1.0475878
TR-45,1.3703735
TR-46,1.2788467
TR-47,1.5699098
TR-48,1.8058065
TR-49,1.9684457
TR-50,2.0418997
TR-51,0.9759166
TR-52,2.2209504
TR-53,1.1921203
TR-54,1.7097201
TR-55,1.786184
TR-56,2.6603389
TR-57,0.9363111
TR-58,1.4440327
TR-59,2.5324109
TR-60,4.3329253
TR-61,2.2131183
TR-62,1.6317996
TR-63,2.1357598
TR-64,2.184603
TR-65,1.1331795
TR-66,1.032024
TR-67,0.8790737
TR-68,1.494928
TR-69,1.5271119
TR-70,1.5951496
TR-71,3.0903685
TR-72,1.0781773
TR-73,2.9055882
TR-74,1.67554
TR-75,1.3660526
TR-76,1.8534254
TR-77,2.1495008
TR-78,2.1938782
TR-79,3.4464147
TR-80,1.4675859
TR-81,3.0893958
TR-82,2.1436527
TR-83,1.0537996
TR-84,1.4718193
TR-85,2.26838
TR-86,2.9801097
TR-87,2.945106
TR-88,2.0705183
TR-89,2.3206909
TR-90,1.3100009
TR-91,1.2991339
TR-92,2.0031505
TR-93,2.2477837
TR-94,1.4507571
TR-95,2.150179
TR-96,2.3797553
TR-97,1.0825222
TR-98,1.7727052
TR-99,2.131098
TR-100,2.2741797
TR-101,0.72373927
TR-102,3.806166
TR-103,1.9453381
TR-104,1.49666
TR-105,3.2422707
TR-106,1.9590851
TR-107,3.4599543
TR-108,1.3118821
TR-109,1.4074514
TR-110,2.567747
TR-111,2.2697577
TR-112,2.7725382
TR-113,1.2565525
TR-114,1.2117354
TR-115,2.0561593
TR-116,3.5699923
TR-117,1.6688157
TR-118,1.0702285
TR-119,1.6923909
TR-120,2.8350167
TR-121,4.342038
TR-122,1.2708409
TR-123,1.8188233
TR-124,0.9910005
TR-125,1.5084552
TR-126,2.0617616
TR-127,1.717965
TR-128,1.1791873
TR-129,2.9594827
TR-130,4.5883603
TR-131,1.7971915
TR-132,1.1430105
TR-133,2.1645732
TR-134,0.9290911
TR-135,1.462047
TR-136,1.8986728
TR-137,1.6022488
TR-138,1.7685229
TR-139,1.8914732
TR-140,0.769611
TR-141,3.756232
TR-142,3.3479018
TR-143,1.9232752
TR-144,2.6424832
TR-145,1.6582384
TR-146,1.3957095
TR-147,3.2076826
TR-148,1.8618915
TR-149,1.3823327
TR-150,1.1162304
TR-151,1.6397384
TR-152,2.4061325
TR-153,3.3539562
TR-154,1.9524492
TR-155,1.6132592
TR-156,3.3413613
TR-157,1.0153347
TR-158,1.2308149
TR-159,1.6571262
TR-160,1.4295806
TR-161,2.1641862
TR-162,3.5883944
TR-163,1.7568403
TR-164,2.786168
TR-165,2.45869
TR-166,1.4294238
TR-167,0.9923373
TR-168,1.6033108
TR-169,2.7323246
TR-170,1.3599297
TR-171,1.264799
TR-172,0.9193557
TR-173,2.27212
TR-174,3.001203
TR-175,1.9561774
TR-176,1.6790541
TR-177,1.060795
TR-178,1.4498667
TR-179,2.1159034
TR-180,2.4600677
