ID,predicted_price
PR-1,0.99592614
PR-2,2.764097
PR-3,2.7867174
PR-4,1.7634896
PR-5,1.7150991
PR-6,1.869113
PR-7,1.3892857
PR-8,1.6282198
PR-9,3.1673508
PR-10,0.90038174
PR-11,1.7150639
PR-12,1.7576888
PR-13,2.6033432
PR-14,1.2755241
PR-15,1.4525203
PR-16,2.4266777
PR-17,1.6965111
PR-18,2.7724245
PR-19,1.6996479
PR-20,4.0382605
PR-21,1.4146205
PR-22,1.7824303
PR-23,4.1293626
PR-24,3.708199
PR-25,1.0673748
PR-26,1.5900856
PR-27,4.6398697
PR-28,2.9459412
PR-29,4.5327387
PR-30,1.257466
PR-31,1.2855738
PR-32,2.0683198
PR-33,1.5341839
PR-34,0.90985143
PR-35,1.5057594
PR-36,3.8351145
PR-37,1.586504
PR-38,2.666596
PR-39,5.845826
PR-40,1.6787411
PR-41,1.8162177
PR-42,1.7611139
PR-43,1.7836654
PR-44,3.3479578
PR-45,2.1107829
PR-46,1.6458731
PR-47,1.3964922
PR-48,1.0593605
PR-49,1.9867938
PR-50,2.919985
PR-51,1.8036828
PR-52,1.5972563
PR-53,1.9457281
PR-54,1.4453987
PR-55,1.0172954
PR-56,4.419415
PR-57,2.1009068
PR-58,1.2505542
PR-59,1.6658447
PR-60,2.7331145
PR-61,1.1950258
PR-62,1.4137067
PR-63,3.4971893
PR-64,1.7372569
PR-65,1.466163
PR-66,2.6137886
PR-67,1.0474594
PR-68,2.0802114
PR-69,1.742413
PR-70,3.2121036
PR-71,2.008224
PR-72,2.1795948
PR-73,1.6681663
PR-74,3.3294587
PR-75,1.6639988
PR-76,1.2965226
PR-77,2.068477
PR-78,1.8819513
PR-79,1.3520012
PR-80,0.9137209
PR-81,1.3781086
PR-82,2.1422482
PR-83,1.6793166
PR-84,2.3275006
PR-85,0.9766472
PR-86,0.72431993
PR-87,0.81395745
PR-88,0.9197415
PR-89,2.586021
PR-90,3.7612925
PR-91,2.1335607
PR-92,1.8904115
PR-93,4.999075
PR-94,1.4192754
PR-95,1.9357967
PR-96,1.56671
PR-97,1.3467052
PR-98,2.8441281
PR-99,1.7198803
PR-100,2.0728943
PR-101,1.2524744
PR-102,1.2251006
PR-103,1.4632386
PR-104,1.9807606
PR-105,2.9881513
PR-106,2.7586246
PR-107,3.1523683
PR-108,1.6029686
PR-109,1.0126271
PR-110,1.8534195
PR-111,1.3130817
PR-112,1.3420528
PR-113,1.675394
PR-114,1.970169
PR-115,2.2521684
PR-116,1.6501412
PR-117,1.2271597
PR-118,1.8271359
PR-119,2.2037597
PR-120,3.120936
PR-121,1.9268388
PR-122,3.0337946
PR-123,2.2318492
PR-124,1.4409221
PR-125,1.3656068
PR-126,1.5098417
PR-127,2.1536536
PR-128,1.5037013
PR-129,1.6688955
PR-130,3.4109724
PR-131,0.92969126
PR-132,1.4981716
PR-133,2.0380576
PR-134,2.2919757
PR-135,2.036958
PR-136,1.1209586
PR-137,4.700474
PR-138,2.9001606
PR-139,1.9949806
PR-140,0.8547287
PR-141,1.1310514
PR-142,1.4869533
PR-143,4.254226
PR-144,1.3879966
PR-145,1.5792309
PR-146,1.480573
